name,fhispanic,fwhite,fblack,fapi,faian,mhispanic,mwhite,mblack,mapi,maian
Sandor,0,0,0,0,0,19,104,19,0,0
Sandra,5939,20087,4494,2220,974,481,1627,364,180,79
Sandy,714,2222,391,1168,0,208,648,114,341,0
Sanford,0,0,0,0,0,0,251,58,58,0
Sang,0,12,0,72,0,0,53,0,303,0
Sangeeta,0,22,0,45,0,0,0,0,0,0
Sangita,0,9,0,17,3,0,0,0,0,0
Sanjay,0,0,0,0,0,43,260,0,639,97
Sanjeev,0,0,0,0,0,17,69,0,162,0
Sanjiv,0,0,0,0,0,0,20,0,45,0
Santa,101,110,35,42,0,0,0,0,0,0
Santiago,152,45,0,24,0,4264,1257,0,689,0
Santo,0,0,0,0,0,72,204,0,0,0
Santos,183,32,0,19,0,1329,234,0,135,0
Santosh,0,0,0,0,0,11,33,0,73,0
Sara,6577,24223,2634,2748,903,333,1226,133,139,46
Sarah,8339,58776,8025,8739,2265,402,2831,387,421,109
Sari,0,218,37,52,0,0,37,6,9,0
Sarina,0,444,0,230,0,0,0,0,0,0
Sarita,89,177,158,186,0,0,0,0,0,0
Sarkis,0,0,0,0,0,0,198,0,44,0
Sasha,445,1613,406,257,0,87,315,79,50,0
Satish,0,0,0,0,0,0,15,0,32,5
Satya,0,80,19,92,27,0,62,15,71,21
Saul,112,72,16,0,0,2423,1549,340,0,0
Saundra,64,371,169,0,32,0,0,0,0,0
Savannah,427,2596,1046,427,0,15,88,36,15,0
Saverio,0,0,0,0,0,0,105,0,0,0
Savita,8,18,0,42,11,0,0,0,0,0
Sawsan,0,28,0,0,0,0,0,0,0,0
Sayed,0,0,0,0,0,0,100,0,114,0
Scarlett,440,1785,0,0,0,9,36,0,0,0
Schuyler,0,165,0,0,0,0,246,0,0,0
Scot,0,0,0,0,0,39,694,56,88,0
Scott,173,2618,138,246,65,2896,43928,2308,4128,1095
Scottie,43,267,114,0,0,49,301,129,0,0
Scotty,13,77,16,18,0,88,520,108,125,0
Seamus,0,0,0,0,0,0,461,0,0,0
Sean,224,2344,371,337,86,2912,30455,4817,4383,1117
Sebastian,134,209,51,75,0,3047,4757,1163,1703,0
See,0,0,0,78,0,0,0,0,0,0
Seema,0,112,0,180,35,0,0,0,0,0
Segundo,0,0,0,0,0,54,12,0,18,0
Selena,639,1537,879,564,0,23,54,31,20,0
Selina,337,630,337,369,0,0,0,0,0,0
Selma,73,325,126,73,0,0,0,0,0,0
Sen,0,0,0,0,0,0,0,0,25,0
Seng,0,14,0,41,0,0,23,0,70,0
Serafin,0,0,0,0,0,168,71,29,81,0
Serena,360,1855,570,806,0,7,34,10,15,0
Serge,0,0,0,0,0,24,184,91,0,0
Sergei,0,0,0,0,0,0,101,0,16,0
Sergey,0,0,0,0,0,0,311,0,38,0
Sergio,444,187,35,61,0,7060,2969,559,968,0
Seth,31,535,51,44,18,617,10655,1007,872,356
Seung,0,0,0,0,0,0,14,0,61,0
Seyed,0,0,0,0,0,9,44,0,29,0
Seymour,0,0,0,0,0,0,84,28,18,0
Shad,0,0,0,0,0,0,288,0,0,0
Shadi,0,67,0,0,0,0,113,0,0,0
Shae,0,356,0,0,0,0,187,0,0,0
Shahid,0,0,0,0,0,0,86,23,126,23
Shahin,0,0,0,0,0,23,83,0,33,0
Shahram,0,0,0,0,0,0,29,0,5,0
Shaina,0,520,0,0,0,0,21,0,0,0
Shalini,0,59,0,120,0,0,0,0,0,0
Shan,0,53,0,69,0,0,169,0,220,0
Shana,160,1672,439,227,113,10,105,28,14,7
Shanda,46,348,158,46,0,0,0,0,0,0
Shane,123,1397,123,156,39,1047,11879,1047,1325,331
Shankar,0,0,0,0,0,9,28,0,42,0
Shanna,175,1419,202,202,143,7,54,8,8,5
Shannan,76,303,0,0,0,13,51,0,0,0
Shannon,1934,17995,3057,1367,558,614,5710,970,434,177
Shanon,35,260,70,35,0,20,148,40,20,0
Shanti,35,121,49,135,0,4,15,6,17,0
Shao,0,0,0,0,0,0,0,0,15,0
Shara,58,289,41,41,0,0,0,0,0,0
Sharad,0,0,0,0,0,7,22,0,31,0
Sharee,0,200,77,0,0,0,0,0,0,0
Sharen,11,63,11,11,0,0,0,0,0,0
Shari,161,1544,228,183,0,0,0,0,0,0
Sharilyn,0,81,0,0,0,0,0,0,0,0
Sharla,0,265,46,0,32,0,0,0,0,0
Sharlene,75,430,106,106,0,0,0,0,0,0
Sharon,1232,13721,3448,1967,595,165,1840,462,264,80
Sharron,0,333,108,0,0,0,143,47,0,0
Sharyl,0,54,8,12,0,0,0,0,0,0
Sharyn,17,178,17,17,17,0,0,0,0,0
Shaun,59,675,137,112,26,393,4502,914,746,176
Shauna,102,1656,431,176,0,2,40,10,4,0
Shawn,309,3014,540,394,134,1936,18900,3388,2468,838
Shawna,341,2521,365,223,182,11,81,12,7,6
Shawnee,0,204,0,0,0,0,28,0,0,0
Shay,0,609,109,0,0,0,475,85,0,0
Shayla,164,852,614,0,0,4,21,15,0,0
Shayna,118,746,167,167,0,2,14,3,3,0
Shayne,0,350,43,60,0,0,683,83,118,0
Shea,100,781,200,100,0,82,642,164,82,0
Sheela,21,45,0,67,0,0,0,0,0,0
Sheena,264,1071,516,335,167,16,65,31,20,10
Sheila,805,5573,1747,857,120,31,213,67,33,5
Sheilah,12,56,27,21,0,0,0,0,0,0
Shelagh,0,38,0,0,0,0,0,0,0,0
Shelby,700,5969,1400,350,0,151,1290,302,76,0
Sheldon,16,252,88,50,0,106,1687,592,336,0
Shelia,39,427,279,0,0,0,0,0,0,0
Shelley,197,2444,365,349,74,23,288,43,41,9
Shelli,35,248,25,0,0,0,0,0,0,0
Shellie,47,342,87,47,0,3,23,6,3,0
Shelly,306,2938,422,432,184,31,296,42,43,19
Shelton,10,45,43,10,0,61,265,257,61,0
Sheng,18,18,0,126,0,4,4,0,28,0
Sheree,46,547,167,65,46,0,0,0,0,0
Sheri,128,1699,256,243,99,0,0,0,0,0
Sheridan,0,344,0,0,0,0,153,0,0,0
Sherie,33,179,24,24,0,0,0,0,0,0
Sherilyn,0,204,40,40,0,0,0,0,0,0
Sherman,8,45,31,19,0,106,629,428,273,0
Sherri,149,1997,431,211,86,0,0,0,0,0
Sherrie,94,790,207,94,42,0,0,0,0,0
Sherril,0,18,0,0,0,0,0,0,0,0
Sherrill,12,109,25,12,18,2,19,4,2,3
Sherry,402,4030,858,623,156,27,272,58,42,11
Sherryl,8,56,16,8,0,0,0,0,0,0
Sherwin,0,0,0,0,0,0,165,75,87,0
Sherwood,0,0,0,0,0,0,102,38,0,0
Sheryl,132,1680,335,229,50,0,0,0,0,0
Sheryle,0,15,0,0,0,0,0,0,0,0
Shi,0,0,0,105,0,0,0,0,55,0
Shiloh,0,421,0,0,0,0,313,0,0,0
Shilpa,17,55,0,122,0,0,0,0,0,0
Shin,0,6,0,19,0,0,16,0,50,0
Shira,0,382,64,0,0,0,0,0,0,0
Shirlee,0,70,10,14,0,0,0,0,0,0
Shirley,843,5254,2049,1254,283,49,306,119,73,17
Shlomo,0,0,0,0,0,0,370,0,0,0
Shmuel,0,0,0,0,0,0,272,0,0,0
Shon,0,20,7,3,0,0,239,84,42,0
Shonda,0,160,87,33,0,0,0,0,0,0
Shu,0,3,0,25,0,0,12,0,83,0
Shyam,0,0,0,0,0,0,69,26,130,0
Si,0,9,0,24,0,0,20,0,56,0
Sidney,279,2542,1025,558,140,211,1924,776,422,106
Siegfried,0,0,0,0,0,0,48,0,0,0
Sierra,313,1927,313,313,0,15,91,15,15,0
Signe,0,121,0,0,0,0,0,0,0,0
Sigrid,36,188,25,0,0,0,0,0,0,0
Silas,25,75,39,22,18,470,1409,743,407,332
Silvana,124,271,0,87,0,0,0,0,0,0
Silvia,2011,1141,263,243,140,121,69,16,15,8
Silvio,0,0,0,0,0,134,143,0,0,0
Sima,0,218,0,102,39,0,0,0,0,0
Simeon,6,20,15,11,0,112,355,264,195,0
Simon,78,202,47,113,0,1574,4061,949,2286,0
Simona,130,213,75,61,43,0,0,0,0,0
Simone,436,1419,755,338,0,54,175,93,42,0
Siobhan,0,607,129,91,0,0,0,0,0,0
Siu,0,0,0,0,0,0,2,0,13,0
Sky,0,409,0,0,0,0,246,0,0,0
Skye,209,836,0,148,148,69,276,0,49,49
Skylar,0,1190,0,0,0,0,546,0,0,0
Skyler,0,817,0,0,0,0,1002,0,0,0
Sloane,0,586,0,0,0,0,74,0,0,0
Smita,8,23,0,51,0,0,0,0,0,0
So,0,0,0,31,0,0,0,0,12,0
Socorro,373,148,0,121,32,123,48,0,40,11
Sofia,3886,3578,573,1569,0,124,114,18,50,0
Sohail,0,0,0,0,0,0,64,0,118,0
Sok,0,0,0,0,0,0,0,0,19,0
Soledad,305,89,45,154,0,15,4,2,8,0
Solomon,4,14,16,9,3,251,927,1044,614,205
Sommer,86,323,0,0,0,0,0,0,0,0
Son,0,0,0,0,0,28,45,0,263,0
Sona,0,124,27,76,0,0,0,0,0,0
